favorites_title	Anikora
tailor_spec_kaba	Kaba ne slit
tailor_spec_bridal	Awareɛ ntadeɛ
tailor_spec_kaftan	Kaftan
tailor_spec_agbada	Agbada
tailor_spec_smock	Batakari
tailor_spec_suits	Afrika suit
tailor_hours_demo	Dwoda–Memeneda, 8:00–18:00 (nhwɛsoɔ)
tailor_portfolio_demo	Wobetumi abisa adwuma nhwɛsoɔ (nhwɛsoɔ din).
tailor_price_budget	Boɔ a ɛyɛ mmerɛw
tailor_price_mid	Mfinimfini
tailor_price_premium	Premium
tailor_verified	Wɔagye atom
tailor_not_verified	Wɔnnye mmaeɛ
tailor_delivery	Ɔde kɔ ma
tailor_specialties	Ne nimdeɛ
tailor_request_quote	Bisa boɔ (nhwɛsoɔ)
tailor_quote_title	Adwuma nkyerɛkyerɛmu
tailor_quote_body	Ɛkyɛ adwuma nkyerɛkyerɛmu a wobɛtumi de akɔma ntontonnaa biara. Ntoma nka ntontonnaafoɔ ho asɛm na ɔngye sika wɔ saa nkabom yi mu.
tailor_quote_share	Kyɛ nkyerɛkyerɛmu
tailor_filter_all	Nyinaa
brief_design	Adwene: %1$s
brief_fabric	Ntama: %1$s
brief_customizations	Nsesaeɛ: %1$s
brief_measurements	Susuwii (cm): %1$s
brief_notes	Nkrasɛm: %1$s
brief_notes_hint	Fa nkrasɛm ka ho ma ntontonnaa (sɛ nea ɛte "yɛ nsa no tenten")
brief_include_measurements	Fa me susuwii ka ho
brief_no_design	Woanyiyi adwene
brief_no_fabric	Woanyiyi ntama
measurements_title	Me Susuwii
measurements_disclaimer	Wo nkontaaɔ ankasa na ɛwɔ ha, na wɔakora so wɔ firi yi so nko. Ntoma nkyɛ nipadua susuwii.
measurement_height	Tenten (cm)
measurement_chest	Akɔnmu (cm)
measurement_waist	Aboɔ mu (cm)
measurement_hip	Atoɔ (cm)
measurement_shoulder	Abɔntire (cm)
measurement_sleeve	Nsa (cm)
measurement_inseam	Nan mu tenten (cm)
measurement_neck	Kɔn (cm)
measurement_notes	Nkrasɛm ma ntontonnaafoɔ
measurements_saved	Wɔasie susuwii
result_variations	Yɛ nsakraeɛ 3 foforɔ
result_variations_progress	Ɛreyɛ nsakraeɛ… (%1$d wɔ 3 mu)
result_variations_quota	Sɔhwɛ kwa a aka nnso ma nsakraeɛ 3.
result_compare	Fa toto
result_compare_original	Deɛ ɛdi kan
result_compare_result	Nea ɛbaeɛ
fabric_edit_title	Sesa ntama
fabric_notes_hint	Nkrasɛm (sɛ nea ɛte: awareɛ ntama)
fabric_amount_hint	Ne tenten bɛyɛ (cm)
fabric_wearer_hint	Deɛ ɔbɛhyɛ (sɛ wopɛ a)
fabric_occasion_hint	Guasodeyɛ (sɛ wopɛ a)
recs_not_interested	Mempɛ saa
recs_not_interested_undone	Wɔasan de adwene no aba
settings_reset_personalization	San hyɛ apɛdeɛ
settings_personalization_reset_done	Wɔasan ahyɛ apɛdeɛ
search_intent_applied	Wɔakyekyɛ mu sɛnea wokyerɛɛ no
settings_data_saver	Data kora
settings_data_saver_body	Fa mfonini nketewa di dwuma na gyae mfonini kɛseɛ yɛ.
home_tools_title	Nnwinnade
tool_color_ideas	Ahosu nsusuwii
tool_wardrobe	Me ntadeɛ
tool_tailors	Ntontonnaafoɔ
tool_collections	Nkabom
profile_row_measurements	Me Susuwii
profile_row_wardrobe	Me Ntadeɛ
favorites_tab_collections	Nkabom
favorites_tab_tailors	Ntontonnaafoɔ
analysis_ml_title	ML nhwehwɛmu a ɛwɔ mɔ̃ no so
analysis_ml_mapped	Ɛkyerɛ ntama: %1$s
analysis_ml_note	MobileNetV2 a ɛredwima wo mɔ̃ no so no kyerɛ nea ɛhunu. Adwene foforɔ na ɛyɛ, ɛnyɛ nkutaho, na wɔnsoma nneɛma nkɔ baabiara.
print_trait_woven_strips	Nwenee nkumaa a wɔabobɔ abom
sample_picker_title	Ntama nni wo nsam?
sample_picker_body	Fa nhwɛsoɔ ntama yi mu biako sɔ hwɛ, na fa ɔkwan no nyinaa mu adwuma.
sample_cta	Sɔ nhwsoɔ ntama hw
brief_pdf_action	PDF krataa
brief_pdf_design	Adwene
brief_pdf_fabric	Ntama
brief_pdf_custom	Nsakrae
brief_pdf_measurements	Kɔstoma susuwii (cm, susuw kwa)
brief_pdf_footer	Wɔde Ntoma asiesie yi. Susuwii no yɛ kɔstoma no ankasa ne nkyerɛmu — gye ne nyinaa di wɔ onipa anim.
settings_cloud_url_hint	Cloud backend URL (sɛ wopɛ)
settings_engine_saved	Wɔasie nhwehwɛmu afiri no
looks_section_title	Saa ntama yi ho mfonini
looks_section_caption	Mfonini a yɛtweeɛ \u2014 nhwɛsoɔ pɛ, ɛnyɛ wo ntama no mfonini
look_kente_women_1	Kente kaba ne slit
look_kente_women_2	Kente afahyɛ ntoma
look_kente_men_1	Kente ayeforɔ ntoma
look_kente_men_2	Kente agbada
look_lace_women_1	Lace fitaa ntoma
look_lace_women_2	Lace amammere ntoma
look_smock_men_1	Atifi fugu
look_smock_men_2	Nsaano batakari
look_ankara_women_1	Ankara ntama mmienu
look_ankara_women_2	Ankara mermaid
look_ankara_men_1	Ankara ntoma ne trɔso
look_ankara_men_2	Ankara daa ntoma
looks_share_cd	Fa mfonini yi kyɛ
notif_brief_ready_title	Ɔdefoɔ nkrataa siesie
notif_brief_ready_body	Wo PDF nkrataa a ɛfa %1$s ho asiesie.
fabric_fugu	Fugu (batakari ntama)
fabric_fugu_desc	Ntama a wɔnwen no wɔ Atifi Ghana; taa yɛ bibire, tuntum ne fitaa.
fabric_gonja	Gonja ntama
fabric_gonja_desc	Gonja nsaano ntama; taa yɛ kɔkɔɔ anaa werɛ ne fitaa ne tuntum.
wardrobe_remove_bg	Yi akyi hɔ
wardrobe_remove_bg_note	Ɛyɛ yiye sɛ akyi hɔ yɛ tee
contrib_title	Fa ntama mfonini boa
contrib_body	Fa ampa ntama mfonini boa ma nhwehwɛmu nyɛ yiye ma obiara. Mfonini no bɛtena wo fon so gye sɛ wo na wode akɔ.
contrib_category	Ntama no mu
contrib_consent	Me na metwee mfonini yi na mempene sɛ wɔde bɛkyerɛ ntama nhwehwɛmu
contrib_save	Fa sie
contrib_saved_count	Mfonini %1$d wɔ fon yi so
contrib_export	Fa akɔ nkyerɛkyerɛ mu
contrib_photo_needed	Di kan yi mfonini
contrib_consent_needed	Ɛsɛ sɛ wopene ansa
contrib_gallery	Wo mmoa mfonini
contrib_delete_cd	Yi mfonini yi fi hɔ
contrib_edit_category	Sesa kuw no
contrib_delete_confirm	Yi mfonini yi fi hɔ?
contrib_delete_confirm_body	Wɔbeyi mfonini yi afi wo mmoa no mu.
contrib_duplicate	Mfonini yi te sɛ nea wode ama dedaw.
outfit_builder_surprise	Yi bi ma me
